vendor,model,iOS_version,region3,ruleid,inc_num,call_num,inc_ratio
Apple,A1984,12.1.4,SEATTLE,MUTING_VOLTE_VOICE,469,35884,0.0130698919
Apple,A1984,12.1.4,SEATTLE,DROP_CC_408_VOLTE_IMS,13,35884,0.0003622785
Apple,A1897,12.1.2,WASHINGTON DC,DROP_CC_481_VOLTE_IMS,48,35176,0.0013645668
Apple,A1897,12.1.2,WASHINGTON DC,MUTING_VOLTE_VOICE,458,35176,0.0130202411
Apple,A1897,12.1.2,WASHINGTON DC,ACCESS_FAILURE_CC_503(1:223)_VOLTE_IMS,49,35176,0.0013929952
Apple,A1897,12.1.2,WASHINGTON DC,SOFT_DROP_DUE_TO_MEDIA_STOP_VOLTE_IMS,44,35176,0.0012508529
Apple,A1897,12.1.2,WASHINGTON DC,ACCESS_FAILURE_CC_OTHER_VOLTE_IMS,23,35176,0.0006538549
Apple,A1897,12.1.2,WASHINGTON DC,GARBLING_VOLTE_VOICE,2754,35176,0.0782920173
Apple,A1897,12.1.2,WASHINGTON DC,DROP_CC_408_VOLTE_IMS,2,35176,0.0000568569
Apple,A1897,12.1.2,WASHINGTON DC,CALL_SETUP_DELAY_VOLTE_IMS,169,35176,0.0048044121
Apple,A1897,12.1.2,WASHINGTON DC,DROP_CC_503_VOLTE_IMS,28,35176,0.0007959973
Apple,A1901,12.1.4,WASHINGTON DC,SOFT_DROP_DUE_TO_MEDIA_STOP_VOLTE_IMS,49,34268,0.0014299055
Apple,A1901,12.1.4,WASHINGTON DC,DROP_CC_481_VOLTE_IMS,64,34268,0.0018676316
Apple,A1901,12.1.4,WASHINGTON DC,MUTING_VOLTE_VOICE,420,34268,0.0122563324
Apple,A1901,12.1.4,WASHINGTON DC,DROP_CC_503_VOLTE_IMS,26,34268,0.0007587253
Apple,A1901,12.1.4,WASHINGTON DC,IMMEDIATE_VOLUNTARY_DROP_DUE_TO_MEDIA_STOP_VOLTE,1,34268,0.0000291817
Apple,A1901,12.1.4,WASHINGTON DC,GARBLING_VOLTE_VOICE,2680,34268,0.0782070737
Apple,A1901,12.1.4,WASHINGTON DC,DROP_CC_408_VOLTE_IMS,2,34268,0.0000583635
Apple,A1901,12.1.4,WASHINGTON DC,CALL_SETUP_DELAY_VOLTE_IMS,169,34268,0.0049317147
Apple,A1901,12.1.4,WASHINGTON DC,ACCESS_FAILURE_CC_OTHER_VOLTE_IMS,18,34268,0.0005252714
Apple,A1901,12.1.4,WASHINGTON DC,ACCESS_FAILURE_CC_503(1:223)_VOLTE_IMS,46,34268,0.0013423602
Apple,A1901,12.1.4,WASHINGTON DC,DROP_CC_OTHER_VOLTE_IMS,3,34268,0.0000875452
Apple,A1633,12.1.2,WASHINGTON DC,DROP_CC_503_VOLTE_IMS,11,32666,0.0003367416
Apple,A1633,12.1.2,WASHINGTON DC,IMMEDIATE_VOLUNTARY_DROP_DUE_TO_MEDIA_STOP_VOLTE,4,32666,0.0001224515
Apple,A1633,12.1.2,WASHINGTON DC,GARBLING_VOLTE_VOICE,2454,32666,0.0751239821
Apple,A1633,12.1.2,WASHINGTON DC,MUTING_VOLTE_VOICE,489,32666,0.0149696933
Apple,A1633,12.1.2,WASHINGTON DC,ACCESS_FAILURE_CC_OTHER_VOLTE_IMS,22,32666,0.0006734831
Apple,A1633,12.1.2,WASHINGTON DC,ACCESS_FAILURE_CC_503(1:223)_VOLTE_IMS,43,32666,0.0013163534
